row_id,default_flag,pd_score,pd_score_band,ead,lgd,ifrs9_stage,ecl,loan_amnt,installment,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,revol_util,total_acc
29,0,0.1285715661492508,Very Low,15000.0,0.35,Stage 1,675.0007222835667,15000.0,451.73,36 months,5.32,A,A1,10+ years,MORTGAGE,44000.0,Source Verified,home_improvement,15.34,0.0,50.3,21.0
30,1,0.4983569225630155,Medium,16000.0,0.35,Stage 3,2790.7987663528866,16000.0,538.18,36 months,12.88,C,C2,10+ years,MORTGAGE,65000.0,Not Verified,small_business,18.96,0.0,54.3,20.0
31,1,0.7515870327182423,Very High,24250.0,0.35,Stage 3,6379.094940196082,24250.0,701.01,60 months,24.24,F,F3,4 years,MORTGAGE,75000.0,Not Verified,debt_consolidation,20.84,0.0,65.3,21.0
32,0,0.3790342450972326,Low,12000.0,0.5,Stage 2,2274.2054705833957,12000.0,391.62,36 months,10.78,B,B4,1 year,RENT,98000.0,Not Verified,debt_consolidation,24.04,0.0,62.8,39.0
33,1,0.5530304458555938,High,25000.0,0.35,Stage 3,4839.016401236446,25000.0,581.58,60 months,13.99,C,C4,9 years,MORTGAGE,79000.0,Not Verified,debt_consolidation,34.53,0.0,18.6,72.0
34,0,0.5149559351021866,High,16800.0,0.35,Stage 3,3027.9408984008573,16800.0,381.23,60 months,12.88,C,C2,10+ years,MORTGAGE,118000.0,Not Verified,debt_consolidation,34.29,0.0,24.1,46.0
35,0,0.1843100885316476,Very Low,7000.0,0.35,Stage 1,451.5597169025366,7000.0,217.72,36 months,7.49,A,A4,10+ years,MORTGAGE,59000.0,Not Verified,credit_card,13.06,1.0,24.2,34.0
36,0,0.56858960673397,High,21000.0,0.5,Stage 3,5970.190870706685,21000.0,488.53,60 months,13.99,C,C4,< 1 year,RENT,52000.0,Source Verified,credit_card,14.47,0.0,87.4,15.0
37,0,0.4104509728693395,Low,27500.0,0.35,Stage 2,3950.5906138673927,27500.0,652.06,60 months,14.85,C,C5,10+ years,MORTGAGE,195000.0,Not Verified,other,6.79,0.0,50.9,19.0
38,0,0.3348823848855813,Low,7200.0,0.35,Stage 2,843.9036099116648,7200.0,237.36,36 months,11.48,B,B5,10+ years,MORTGAGE,72500.0,Verified,home_improvement,8.47,0.0,35.2,7.0
39,0,0.5128475407517333,Medium,20000.0,0.5,Stage 3,5128.475407517333,20000.0,691.84,36 months,14.85,C,C5,6 years,RENT,110000.0,Not Verified,credit_card,12.45,0.0,84.5,12.0
40,0,0.5988584838608326,High,20000.0,0.5,Stage 3,5988.584838608326,20000.0,700.88,36 months,15.77,D,D1,5 years,RENT,70000.0,Not Verified,house,22.21,0.0,36.6,63.0
41,1,0.5715503709556181,High,10000.0,0.35,Stage 3,2000.4262983446633,10000.0,253.78,60 months,17.97,D,D4,2 years,MORTGAGE,55000.0,Not Verified,credit_card,35.7,0.0,78.0,28.0
42,0,0.6606269015645195,Very High,16000.0,0.35,Stage 3,3699.5106487613093,16000.0,372.21,60 months,13.99,C,C4,9 years,MORTGAGE,142000.0,Verified,debt_consolidation,17.74,2.0,39.9,19.0
43,0,0.4339034986315345,Medium,20000.0,0.5,Stage 2,4339.034986315345,20000.0,643.47,36 months,9.8,B,B3,5 years,RENT,75000.0,Not Verified,debt_consolidation,23.45,0.0,9.6,26.0
44,0,0.082263436453329,Very Low,8650.0,0.35,Stage 1,249.05255386245352,8650.0,260.5,36 months,5.32,A,A1,< 1 year,MORTGAGE,100000.0,Not Verified,credit_card,7.28,0.0,26.7,24.0
45,0,0.568303583351397,High,21000.0,0.5,Stage 3,5967.187625189668,21000.0,482.56,60 months,13.44,C,C3,2 years,RENT,54649.0,Source Verified,debt_consolidation,12.14,0.0,26.8,44.0
46,0,0.5989922267307481,High,7200.0,0.5,Stage 3,2156.372016230693,7200.0,252.32,36 months,15.77,D,D1,< 1 year,RENT,55000.0,Not Verified,debt_consolidation,17.35,0.0,69.0,43.0
47,0,0.3331889935736172,Low,8800.0,0.35,Stage 2,1026.2221002067408,8800.0,283.13,36 months,9.8,B,B3,10+ years,MORTGAGE,92000.0,Source Verified,credit_card,5.18,0.0,76.6,24.0
48,0,0.7157918499016572,Very High,14650.0,0.5,Stage 3,5243.17530052964,14650.0,392.23,60 months,20.5,E,E4,2 years,RENT,43160.0,Verified,debt_consolidation,21.44,0.0,101.6,24.0
49,0,0.679056752758384,Very High,2500.0,0.35,Stage 3,594.1746586635859,2500.0,89.47,36 months,17.27,D,D3,10+ years,MORTGAGE,50000.0,Verified,other,17.6,3.0,31.1,22.0
50,0,0.3319122653052571,Low,11000.0,0.35,Stage 2,1277.8622214252396,11000.0,350.67,36 months,9.17,B,B2,10+ years,MORTGAGE,69000.0,Not Verified,credit_card,21.34,0.0,84.8,18.0
51,0,0.6418307926653023,Very High,23850.0,0.4,Stage 3,6123.065762026984,23850.0,596.21,60 months,17.27,D,D3,10+ years,OWN,68046.0,Not Verified,debt_consolidation,24.71,1.0,91.3,33.0
52,0,0.6510158632536314,Very High,15700.0,0.35,Stage 3,3577.332168578704,15700.0,386.74,60 months,16.59,D,D2,6 years,MORTGAGE,48000.0,Not Verified,credit_card,29.13,0.0,64.9,28.0
53,0,0.3956090799160816,Low,28800.0,0.4,Stage 2,4557.416600633261,28800.0,640.5,60 months,11.99,C,C1,10+ years,OWN,60000.0,Not Verified,debt_consolidation,18.01,0.0,10.5,37.0
54,0,0.2941118625830966,Low,10000.0,0.35,Stage 2,1029.391519040838,10000.0,336.37,36 months,12.88,C,C2,4 years,MORTGAGE,91392.0,Not Verified,house,9.44,0.0,41.7,33.0
55,0,0.3585959541382226,Low,24000.0,0.4,Stage 2,3442.521159726937,24000.0,507.58,60 months,9.8,B,B3,,OWN,77900.0,Not Verified,home_improvement,10.24,0.0,10.3,21.0
56,0,0.7397518808630942,Very High,28000.0,0.35,Stage 3,7249.568432458323,28000.0,718.51,60 months,18.49,D,D5,10+ years,MORTGAGE,75000.0,Verified,debt_consolidation,31.88,0.0,51.9,46.0
57,0,0.4084795451354947,Low,35000.0,0.35,Stage 2,5003.87442790981,35000.0,778.38,60 months,11.99,C,C1,10+ years,MORTGAGE,128000.0,Source Verified,home_improvement,6.46,0.0,27.4,46.0
58,0,0.3238025386809771,Low,7200.0,0.35,Stage 2,815.9823974760623,7200.0,229.53,36 months,9.17,B,B2,10+ years,MORTGAGE,50000.0,Not Verified,debt_consolidation,19.25,0.0,47.6,25.0
59,0,0.2483967464089657,Very Low,10000.0,0.5,Stage 2,1241.9837320448285,10000.0,312.95,36 months,7.91,A,A5,2 years,RENT,40100.0,Not Verified,credit_card,10.81,0.0,45.0,7.0
60,1,0.6318759638712405,Very High,16000.0,0.5,Stage 3,5055.007710969923,16000.0,367.67,60 months,13.44,C,C3,1 year,RENT,42000.0,Not Verified,credit_card,9.6,0.0,44.8,48.0
61,0,0.5023079302058588,Medium,21875.0,0.5,Stage 3,5493.992986626581,21875.0,726.46,36 months,11.99,C,C1,< 1 year,RENT,47590.0,Source Verified,credit_card,17.76,0.0,57.1,14.0
62,0,0.685894402680893,Very High,14025.0,0.35,Stage 3,3366.884149159833,14025.0,359.9,60 months,18.49,D,D5,10+ years,MORTGAGE,39000.0,Verified,debt_consolidation,18.0,0.0,74.9,21.0
63,1,0.2828028127213466,Very Low,35000.0,0.35,Stage 3,3464.3344558364956,35000.0,794.21,60 months,12.88,C,C2,7 years,MORTGAGE,106000.0,Source Verified,debt_consolidation,17.36,0.0,72.1,27.0
64,0,0.339909264484551,Low,20000.0,0.35,Stage 2,2379.364851391857,20000.0,672.73,36 months,12.88,C,C2,10+ years,MORTGAGE,145000.0,Not Verified,debt_consolidation,12.28,0.0,80.2,21.0
65,1,0.517109374615418,High,14000.0,0.35,Stage 3,2533.835935615548,14000.0,331.96,60 months,14.85,C,C5,2 years,MORTGAGE,60000.0,Not Verified,debt_consolidation,24.29,0.0,73.9,24.0
66,0,0.2902998495238499,Low,16000.0,0.35,Stage 2,1625.6791573335595,16000.0,328.19,60 months,8.49,B,B1,5 years,MORTGAGE,62000.0,Source Verified,credit_card,28.92,0.0,51.2,24.0
67,0,0.5353289896683195,High,28000.0,0.35,Stage 3,5246.224098749532,28000.0,663.92,60 months,14.85,C,C5,2 years,MORTGAGE,85000.0,Not Verified,debt_consolidation,28.52,0.0,71.8,29.0
68,1,0.6143482063508637,High,20000.0,0.4,Stage 3,4914.78565080691,20000.0,465.27,60 months,13.99,C,C4,10+ years,OWN,70000.0,Source Verified,debt_consolidation,16.9,0.0,42.0,35.0
69,0,0.7155280552191934,Very High,17600.0,0.5,Stage 3,6296.646885928902,17600.0,465.22,60 months,19.89,E,E3,< 1 year,RENT,44000.0,Verified,credit_card,17.56,0.0,102.4,25.0
70,0,0.37502583650801,Low,4200.0,0.35,Stage 2,551.2879796667747,4200.0,142.41,36 months,13.44,C,C3,10+ years,MORTGAGE,102500.0,Not Verified,debt_consolidation,26.21,0.0,88.5,37.0
71,0,0.6118787079338942,High,19000.0,0.4,Stage 3,4650.278180297596,19000.0,450.52,60 months,14.85,C,C5,9 years,OWN,75000.0,Not Verified,credit_card,13.09,0.0,63.7,34.0
72,0,0.8033460176035716,Very High,15850.0,0.4,Stage 3,5093.213751606645,15850.0,448.01,60 months,23.13,F,F2,10+ years,OWN,45000.0,Not Verified,debt_consolidation,34.85,0.0,21.3,24.0
73,0,0.6021124120447366,High,10000.0,0.5,Stage 3,3010.562060223683,10000.0,222.4,60 months,11.99,C,C1,10+ years,RENT,42500.0,Not Verified,debt_consolidation,31.04,0.0,40.9,23.0
74,0,0.4510233213273379,Medium,30000.0,0.35,Stage 2,4735.744873937048,30000.0,1051.31,36 months,15.77,D,D1,2 years,MORTGAGE,175000.0,Not Verified,home_improvement,18.5,0.0,50.3,23.0
75,0,0.129543214331408,Very Low,1500.0,0.35,Stage 1,68.0101875239892,1500.0,45.97,36 months,6.49,A,A2,,MORTGAGE,45000.0,Not Verified,vacation,16.11,0.0,21.2,37.0
76,0,0.0464494416549811,Very Low,25000.0,0.35,Stage 1,406.43261448108456,25000.0,752.87,36 months,5.32,A,A1,1 year,MORTGAGE,150000.0,Not Verified,credit_card,9.54,0.0,42.5,18.0
77,0,0.5039087911846893,Medium,16250.0,0.35,Stage 3,2865.9812498629203,16250.0,373.41,60 months,13.44,C,C3,2 years,MORTGAGE,50000.0,Not Verified,debt_consolidation,34.95,0.0,94.9,21.0
78,1,0.7443749883693274,Very High,20200.0,0.5,Stage 3,7518.187382530206,20200.0,518.35,60 months,18.49,D,D5,4 years,RENT,60000.0,Source Verified,debt_consolidation,34.84,0.0,40.6,16.0
79,1,0.7080105609634935,Very High,23975.0,0.5,Stage 3,8487.276599549878,23975.0,633.73,60 months,19.89,E,E3,10+ years,RENT,70000.0,Not Verified,credit_card,33.2,0.0,94.9,19.0
80,0,0.4357036758763029,Medium,15000.0,0.35,Stage 2,2287.44429835059,15000.0,324.5,60 months,10.78,B,B4,10+ years,MORTGAGE,65000.0,Not Verified,debt_consolidation,29.28,0.0,69.8,32.0
81,0,0.3690973683515893,Low,10000.0,0.35,Stage 2,1291.8407892305625,10000.0,326.35,36 months,10.78,B,B4,3 years,MORTGAGE,41600.0,Not Verified,debt_consolidation,15.78,0.0,52.5,33.0
82,0,0.2498541797986759,Very Low,15000.0,0.35,Stage 2,1311.7344439430485,15000.0,473.45,36 months,8.49,B,B1,6 years,MORTGAGE,110000.0,Not Verified,credit_card,13.24,0.0,41.4,33.0
83,1,0.608254018752664,High,23100.0,0.4,Stage 3,5620.267133274616,23100.0,618.46,60 months,20.5,E,E4,2 years,OWN,110000.0,Not Verified,car,20.43,0.0,94.9,24.0
84,1,0.6432470151945473,Very High,27300.0,0.35,Stage 3,6146.225230183899,27300.0,977.0,36 months,17.27,D,D3,10+ years,MORTGAGE,65000.0,Not Verified,home_improvement,25.63,0.0,83.0,38.0
85,0,0.3313001300327702,Low,25000.0,0.35,Stage 2,2898.876137786739,25000.0,549.57,60 months,11.48,B,B5,10+ years,MORTGAGE,135000.0,Not Verified,credit_card,4.65,0.0,13.5,33.0
86,0,0.4713841643105274,Medium,15000.0,0.5,Stage 2,3535.3812323289553,15000.0,489.52,36 months,10.78,B,B4,1 year,RENT,40000.0,Verified,credit_card,10.17,0.0,75.3,9.0
87,0,0.7759439303086298,Very High,10000.0,0.5,Stage 3,3879.719651543149,10000.0,246.33,60 months,16.59,D,D2,< 1 year,RENT,30000.0,Source Verified,debt_consolidation,30.84,0.0,26.6,36.0
88,0,0.4813321211311579,Medium,18500.0,0.35,Stage 2,3116.6254843242473,18500.0,419.8,60 months,12.88,C,C2,10+ years,MORTGAGE,70000.0,Source Verified,debt_consolidation,13.2,0.0,57.8,19.0
89,0,0.2711298643421901,Very Low,5000.0,0.5,Stage 2,677.8246608554753,5000.0,156.48,36 months,7.91,A,A5,6 years,RENT,32000.0,Source Verified,credit_card,13.73,0.0,41.1,10.0
90,0,0.2331221821669749,Very Low,9000.0,0.4,Stage 2,839.2398558011096,9000.0,286.92,36 months,9.17,B,B2,1 year,OWN,50000.0,Not Verified,debt_consolidation,11.98,0.0,48.5,11.0
91,0,0.1381971441964957,Very Low,11000.0,0.35,Stage 1,532.0590051565084,11000.0,337.09,36 months,6.49,A,A2,10+ years,MORTGAGE,85000.0,Not Verified,credit_card,15.0,0.0,20.1,31.0
92,0,0.1654547143837521,Very Low,20000.0,0.35,Stage 1,1158.1830006862644,20000.0,612.89,36 months,6.49,A,A2,6 years,MORTGAGE,55000.0,Not Verified,debt_consolidation,29.15,0.0,23.8,23.0
93,0,0.133286111402507,Very Low,15000.0,0.5,Stage 1,999.6458355188026,15000.0,451.73,36 months,5.32,A,A1,,RENT,80000.0,Not Verified,debt_consolidation,20.18,0.0,21.4,47.0
94,0,0.123895296164565,Very Low,12000.0,0.35,Stage 1,520.360243891173,12000.0,361.38,36 months,5.32,A,A1,4 years,MORTGAGE,53750.0,Source Verified,debt_consolidation,15.3,1.0,17.2,19.0
95,0,0.4654102557721746,Medium,8000.0,0.35,Stage 2,1303.1487161620887,8000.0,261.08,36 months,10.78,B,B4,< 1 year,MORTGAGE,45000.0,Not Verified,debt_consolidation,21.23,0.0,35.5,69.0
96,0,0.5667255599565957,High,12000.0,0.5,Stage 3,3400.353359739574,12000.0,391.62,36 months,10.78,B,B4,3 years,RENT,40000.0,Not Verified,credit_card,31.95,3.0,41.4,22.0
97,0,0.2677199556994235,Very Low,18000.0,0.35,Stage 2,1686.6357209063676,18000.0,559.83,36 months,7.49,A,A4,5 years,MORTGAGE,75000.0,Not Verified,debt_consolidation,25.65,0.0,33.2,47.0
98,0,0.4578725883207243,Medium,3600.0,0.35,Stage 2,576.9194612841126,3600.0,118.68,36 months,11.48,B,B5,< 1 year,MORTGAGE,85000.0,Source Verified,debt_consolidation,17.44,0.0,28.7,23.0
99,1,0.6430530849527456,Very High,7200.0,0.4,Stage 3,1851.9928846639075,7200.0,257.67,36 months,17.27,D,D3,9 years,OWN,20000.0,Verified,debt_consolidation,13.21,1.0,32.6,17.0
100,0,0.6588081175218541,Very High,15000.0,0.5,Stage 3,4941.060881413906,15000.0,344.69,60 months,13.44,C,C3,4 years,RENT,77213.0,Source Verified,credit_card,18.17,0.0,25.8,44.0
101,0,0.2538431437095607,Very Low,5000.0,0.4,Stage 2,507.6862874191214,5000.0,160.87,36 months,9.8,B,B3,6 years,OWN,72000.0,Not Verified,other,6.52,0.0,56.3,20.0
102,1,0.6740517091892847,Very High,11550.0,0.5,Stage 3,3892.648620568119,11550.0,284.51,60 months,16.59,D,D2,5 years,RENT,38000.0,Not Verified,credit_card,21.07,0.0,39.7,12.0
103,0,0.5227619825029629,High,33600.0,0.5,Stage 3,8782.401306049776,33600.0,1096.53,36 months,10.78,B,B4,8 years,RENT,104000.0,Source Verified,debt_consolidation,14.01,0.0,51.8,31.0
104,0,0.6372155903593891,Very High,17925.0,0.4,Stage 3,4568.83578287682,17925.0,448.09,60 months,17.27,D,D3,10+ years,OWN,39000.0,Source Verified,debt_consolidation,27.78,0.0,76.0,21.0
105,1,0.5209221936279358,High,17475.0,0.5,Stage 3,4551.557666824089,17475.0,597.17,36 months,13.99,C,C4,2 years,RENT,39750.0,Not Verified,debt_consolidation,23.58,0.0,52.3,13.0
106,0,0.2438621188762003,Very Low,9000.0,0.35,Stage 2,768.1656744600309,9000.0,284.07,36 months,8.49,B,B1,8 years,MORTGAGE,47000.0,Not Verified,debt_consolidation,8.43,0.0,26.7,22.0
107,0,0.3214240520207531,Low,12000.0,0.35,Stage 2,1349.9810184871628,12000.0,253.79,60 months,9.8,B,B3,10+ years,MORTGAGE,65000.0,Not Verified,debt_consolidation,23.84,0.0,13.4,37.0
108,0,0.3733203162555341,Low,4000.0,0.5,Stage 2,746.6406325110681,4000.0,127.52,36 months,9.17,B,B2,2 years,RENT,44500.0,Verified,debt_consolidation,15.83,0.0,4.2,24.0
109,0,0.5354682445820615,High,10500.0,0.5,Stage 3,2811.2082840558232,10500.0,367.96,36 months,15.77,D,D1,3 years,RENT,70100.0,Source Verified,credit_card,8.51,0.0,77.4,10.0
110,0,0.3264072310379089,Low,14000.0,0.35,Stage 2,1599.3954320857536,14000.0,450.43,36 months,9.8,B,B3,4 years,MORTGAGE,100000.0,Not Verified,medical,15.97,0.0,36.1,14.0
111,0,0.1960520911653606,Very Low,6000.0,0.35,Stage 1,411.70939144725725,6000.0,187.77,36 months,7.91,A,A5,10+ years,MORTGAGE,105000.0,Not Verified,car,14.45,0.0,65.3,11.0
112,0,0.3889274486745563,Low,16000.0,0.4,Stage 2,2489.1356715171605,16000.0,363.07,60 months,12.88,C,C2,10+ years,OWN,90000.0,Not Verified,home_improvement,6.39,0.0,43.9,17.0
113,0,0.3043803778497024,Low,15000.0,0.35,Stage 2,1597.9969837109375,15000.0,482.61,36 months,9.8,B,B3,3 years,MORTGAGE,92000.0,Not Verified,debt_consolidation,13.89,0.0,35.2,31.0
114,0,0.3779430904965367,Low,12000.0,0.35,Stage 2,1587.360980085454,12000.0,382.55,36 months,9.17,B,B2,4 years,MORTGAGE,39400.0,Not Verified,debt_consolidation,26.32,0.0,34.6,25.0
115,0,0.4217251745895909,Medium,10000.0,0.5,Stage 2,2108.6258729479546,10000.0,329.67,36 months,11.48,B,B5,2 years,RENT,33000.0,Not Verified,debt_consolidation,21.75,0.0,35.6,20.0
116,0,0.5612081647786232,High,4200.0,0.5,Stage 3,1178.537146035109,4200.0,143.53,36 months,13.99,C,C4,2 years,RENT,32000.0,Source Verified,other,31.02,0.0,11.7,16.0
117,0,0.7247470533347424,Very High,35000.0,0.35,Stage 3,8878.151403350594,35000.0,937.06,60 months,20.5,E,E4,8 years,MORTGAGE,120000.0,Source Verified,debt_consolidation,35.69,1.0,32.2,54.0
118,1,0.7462700930063821,Very High,5475.0,0.35,Stage 3,1430.0400657234798,5475.0,200.67,36 months,18.99,E,E1,10+ years,MORTGAGE,108000.0,Verified,debt_consolidation,33.47,4.0,41.0,27.0
119,0,0.2600371706747769,Very Low,16000.0,0.35,Stage 2,1456.2081557787506,16000.0,323.74,60 months,7.91,A,A5,2 years,MORTGAGE,60000.0,Not Verified,debt_consolidation,28.58,0.0,30.3,22.0
120,0,0.5722576820260615,High,6000.0,0.4,Stage 3,1373.4184368625479,6000.0,203.44,36 months,13.44,C,C3,3 years,OWN,38700.0,Source Verified,debt_consolidation,23.26,0.0,19.2,10.0
121,0,0.4527667575602604,Medium,24000.0,0.35,Stage 2,3803.2407635061872,24000.0,765.1,36 months,9.17,B,B2,10+ years,MORTGAGE,75000.0,Source Verified,debt_consolidation,10.11,0.0,39.5,25.0
122,0,0.3834856757660342,Low,10000.0,0.5,Stage 2,1917.4283788301711,10000.0,336.37,36 months,12.88,C,C2,< 1 year,RENT,60000.0,Verified,debt_consolidation,3.3,0.0,64.1,42.0
123,0,0.7497488156559451,Very High,6900.0,0.5,Stage 3,2586.6334140130107,6900.0,256.05,36 months,19.89,E,E3,10+ years,RENT,80000.0,Source Verified,debt_consolidation,9.57,0.0,35.9,16.0
124,0,0.3568568484369968,Low,22400.0,0.35,Stage 2,2797.7576917460547,22400.0,473.74,60 months,9.8,B,B3,10+ years,MORTGAGE,48000.0,Not Verified,credit_card,28.48,0.0,55.7,18.0
125,0,0.6291661547338154,Very High,15975.0,0.35,Stage 3,3517.8252626554454,15975.0,566.3,36 months,16.59,D,D2,4 years,MORTGAGE,58800.0,Not Verified,debt_consolidation,20.45,0.0,71.8,23.0
126,0,0.4832452820270942,Medium,21600.0,0.35,Stage 2,3653.334332124832,21600.0,732.38,36 months,13.44,C,C3,9 years,MORTGAGE,54000.0,Verified,debt_consolidation,17.64,0.0,60.8,30.0
127,0,0.5760819628057379,High,24000.0,0.5,Stage 3,6912.983553668854,24000.0,558.32,60 months,13.99,C,C4,8 years,RENT,82193.0,Not Verified,credit_card,29.92,0.0,48.2,34.0
128,1,0.7434246819085224,Very High,14400.0,0.5,Stage 3,5352.657709741361,14400.0,377.36,60 months,19.48,E,E2,3 years,RENT,73320.0,Source Verified,debt_consolidation,17.02,0.0,96.8,19.0
129,0,0.5005099185184865,Medium,8000.0,0.5,Stage 3,2002.039674073946,8000.0,273.39,36 months,13.99,C,C4,< 1 year,RENT,42000.0,Not Verified,other,23.26,0.0,40.5,10.0
